stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\szymo\Downloads\Trie-data-structure-master\bin\Debug\allegro5.cfg r
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\windows\system32\shcore.dll
system   D            wsystem.c:763  load_library_at_path             [   0.00000] Calling LoadLibrary C:\windows\system32\shcore.dll
system   I            wsystem.c:766  load_library_at_path             [   0.00000] Loaded C:\windows\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.5
dtor     D               dtor.c:196  _al_register_destructor          [   0.00022] added dtor for timer 0000000000927120, func 0000000061AFEE71
dtor     D               dtor.c:196  _al_register_destructor          [   0.00024] added dtor for queue 00000000009271D0, func 0000000061AEC1AB
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.00045] PathFindOnPath found: C:\windows\system32\d3d9.dll
system   D            wsystem.c:763  load_library_at_path             [   0.00046] Calling LoadLibrary C:\windows\system32\d3d9.dll
system   I            wsystem.c:766  load_library_at_path             [   0.00291] Loaded C:\windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.01760] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [   0.01886] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.01889] al_display=00000000009291C0
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.01890] al_display->vt=0000000000929050
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.02493] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.02495] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02497] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02497] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02498] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02499] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02499] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.02500] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02500] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.02501] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02501] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.02502] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02502] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.02503] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02503] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.02504] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02504] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.02505] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02505] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.02510] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02511] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02512] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02512] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02513] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
